date,hour,is_weekend_or_holiday,event_flag,name,current_crawds
2024-06-07,20:00,0,0,,51.62
2024-06-07,21:00,0,0,,39.04
2024-06-07,22:00,0,0,,20.54
2024-06-08,10:00,1,0,,13.139999999999999
2024-06-08,11:00,1,0,,13.139999999999999
2024-06-08,12:00,1,0,,5
2024-06-08,13:00,1,0,,5
2024-06-08,14:00,1,0,,21.279999999999998
2024-06-08,15:00,1,0,,21.279999999999998
2024-06-08,16:00,1,0,,79
2024-06-08,17:00,1,1,乃⽊坂46 35thSGアンダーメンバー,79
2024-06-08,18:00,1,0,,79
2024-06-08,19:00,1,0,,69.38
2024-06-08,20:00,1,0,,44.22
2024-06-08,21:00,1,0,,9.44
2024-06-08,22:00,1,0,,6.48
2024-06-08,8:00,1,0,,5
2024-06-08,9:00,1,0,,5
2024-06-09,10:00,1,0,,5
2024-06-09,7:00,1,0,,5
2024-06-09,8:00,1,0,,5
2024-06-09,9:00,1,0,,5
2024-06-10,10:00,0,0,,7.96
2024-06-10,11:00,0,0,,7.96
2024-06-10,12:00,0,0,,7.96
2024-06-10,13:00,0,0,,7.96
2024-06-10,14:00,0,0,,7.96
2024-06-10,15:00,0,0,,7.96
2024-06-10,16:00,0,0,,7.96
2024-06-10,17:00,0,0,,7.96
2024-06-10,18:00,0,0,,7.96
2024-06-10,19:00,0,0,,7.96
2024-06-10,20:00,0,0,,7.96
2024-06-10,21:00,0,0,,7.96
2024-06-10,22:00,0,0,,7.96
2024-06-10,6:00,0,0,,5
2024-06-10,7:00,0,0,,5
2024-06-10,8:00,0,0,,5
2024-06-10,9:00,0,0,,7.96
2024-06-11,10:00,0,0,,7.96
2024-06-11,11:00,0,0,,7.96
2024-06-11,12:00,0,0,,7.96
2024-06-11,13:00,0,0,,7.96
2024-06-11,14:00,0,0,,7.96
2024-06-11,15:00,0,0,,7.96
2024-06-11,16:00,0,0,,7.96
2024-06-11,17:00,0,0,,7.96
2024-06-11,18:00,0,0,,5
2024-06-11,19:00,0,0,,5
2024-06-11,20:00,0,0,,7.96
2024-06-11,21:00,0,0,,7.96
2024-06-11,22:00,0,0,,5
2024-06-11,6:00,0,0,,5
2024-06-11,7:00,0,0,,5
2024-06-11,8:00,0,0,,7.96
2024-06-11,9:00,0,0,,7.96
2024-06-12,10:00,0,0,,7.22
2024-06-12,11:00,0,0,,7.22
2024-06-12,12:00,0,0,,5
