date,hour,is_weekend_or_holiday,event_flag,name,current_crawds,weather_code,temperature,humidity,cloud,chance_of_rain
2024-06-07,20:00,0,0,,51.62,1000,21.5,64,14,0
2024-06-07,21:00,0,0,,39.04,1000,21.0,66,20,0
2024-06-07,22:00,0,0,,20.54,1000,20.7,68,18,0
2024-06-08,10:00,1,0,,13.14,1003,22.9,50,33,0
2024-06-08,11:00,1,0,,13.14,1000,23.9,44,7,0
2024-06-08,12:00,1,0,,13.14,1000,24.8,39,0,0
2024-06-08,13:00,1,0,,13.14,1000,25.6,36,0,0
2024-06-08,14:00,1,0,,21.28,1000,26.1,38,3,45
2024-06-08,15:00,1,0,,21.28,1000,25.9,44,5,45
2024-06-08,16:00,1,0,,79.0,1063,25.0,51,77,45
2024-06-08,17:00,1,1,乃⽊坂46 35thSGアンダーメンバー,79.0,1063,24.2,57,83,45
2024-06-08,18:00,1,0,,79.0,1063,23.4,62,79,45
2024-06-08,19:00,1,0,,69.38,1063,22.5,66,62,45
2024-06-08,20:00,1,0,,44.22,1063,21.8,68,81,45
2024-06-08,21:00,1,0,,13.14,1000,21.4,70,20,45
2024-06-08,22:00,1,0,,6.48,1063,21.2,71,82,45
2024-06-09,10:00,1,0,,5.0,1000,22.9,55,17,0
2024-06-10,10:00,0,0,,7.96,1063,19.0,73,80,45
2024-06-10,11:00,0,0,,7.96,1063,20.1,69,74,45
2024-06-10,12:00,0,0,,7.96,1063,21.2,66,76,45
2024-06-10,13:00,0,0,,7.96,1063,21.5,65,65,45
2024-06-10,14:00,0,0,,7.96,1003,21.5,65,53,45
2024-06-10,15:00,0,0,,7.96,1003,21.8,64,51,45
2024-06-10,16:00,0,0,,7.96,1003,22.1,62,39,0
2024-06-10,17:00,0,0,,7.96,1003,22.3,62,34,0
2024-06-10,18:00,0,0,,7.96,1003,22.0,63,30,0
2024-06-10,19:00,0,0,,7.96,1000,21.6,66,22,0
2024-06-10,20:00,0,0,,7.96,1000,20.9,69,6,0
2024-06-10,21:00,0,0,,7.96,1000,20.4,71,11,0
2024-06-10,22:00,0,0,,7.96,1000,20.3,72,12,0
2024-06-11,10:00,0,0,,7.96,1003,23.7,63,33,0
2024-06-11,11:00,0,0,,7.96,1000,24.2,60,13,45
2024-06-11,12:00,0,0,,7.96,1000,24.9,58,16,0
2024-06-11,13:00,0,0,,7.96,1000,25.4,56,15,0
2024-06-11,14:00,0,0,,7.96,1000,25.6,55,19,0
2024-06-11,15:00,0,0,,7.96,1000,25.5,56,12,45
2024-06-11,16:00,0,0,,7.96,1000,25.1,58,8,0
2024-06-11,17:00,0,0,,7.96,1000,24.6,61,8,0
2024-06-11,18:00,0,0,,5.0,1000,23.9,65,7,0
2024-06-11,19:00,0,0,,5.0,1000,23.1,69,8,0
2024-06-11,20:00,0,0,,7.96,1000,22.6,73,6,0
2024-06-11,21:00,0,0,,7.96,1000,22.3,75,9,0
2024-06-11,22:00,0,0,,5.0,1000,22.0,77,4,0
2024-06-12,10:00,0,0,,7.22,1000,24.6,67,23,45
2024-06-12,11:00,0,0,,7.22,1000,25.4,62,5,0
2024-06-12,12:00,0,0,,5.0,1000,26.3,57,4,45
2024-06-12,13:00,0,0,,7.22,1000,26.8,56,2,45
2024-06-12,14:00,0,0,,7.22,1000,27.0,56,3,0
2024-06-12,15:00,0,0,,7.22,1000,26.9,57,3,0
2024-06-12,16:00,0,0,,7.22,1000,26.7,58,3,0
2024-06-12,17:00,0,0,,7.22,1000,26.1,60,3,0
2024-06-12,18:00,0,0,,7.22,1000,25.3,64,3,0
2024-06-12,19:00,0,0,,7.22,1000,24.4,67,3,0
2024-06-12,20:00,0,0,,7.22,1000,23.8,70,4,0
2024-06-12,21:00,0,0,,5.0,1000,23.3,73,4,0
2024-06-12,22:00,0,0,,5.0,1000,22.9,75,4,0
2024-06-13,10:00,0,0,,7.22,1006,23.6,65,64,0
2024-06-13,11:00,0,0,,7.22,1006,24.8,59,64,0
2024-06-13,12:00,0,0,,17.58,1006,25.1,56,70,0
2024-06-13,13:00,0,1,IMP.,66.42,1000,25.4,55,4,0
2024-06-13,14:00,0,0,,79.0,1000,25.8,54,7,0
2024-06-13,15:00,0,0,,76.78,1000,26.0,53,15,0
2024-06-13,16:00,0,0,,33.12,1000,26.2,53,23,0
2024-06-13,17:00,0,0,,38.3,1000,26.1,53,17,0
2024-06-13,18:00,0,1,IMP.,79.0,1000,25.7,56,8,0
2024-06-13,19:00,0,0,,79.0,1000,24.9,60,8,0
2024-06-13,20:00,0,0,,64.2,1000,24.5,62,9,0
2024-06-13,21:00,0,0,,12.4,1000,24.3,62,17,0
2024-06-13,22:00,0,0,,7.22,1000,24.1,62,21,0
2024-06-14,10:00,0,0,,7.96,1000,27.1,55,8,0
2024-06-14,11:00,0,0,,7.96,1000,27.6,54,9,0
2024-06-14,12:00,0,0,,13.14,1000,28.1,52,8,0
2024-06-14,13:00,0,1,IMP.,79.0,1000,28.5,50,8,0
2024-06-14,14:00,0,0,,79.0,1000,28.6,50,7,0
2024-06-14,15:00,0,0,,67.9,1000,28.5,50,6,0
2024-06-14,16:00,0,0,,24.98,1000,28.2,49,5,0
2024-06-14,17:00,0,0,,11.66,1000,27.2,51,5,0
2024-06-14,18:00,0,0,,7.22,1000,26.2,55,4,0
2024-06-14,19:00,0,0,,7.22,1000,25.2,61,4,0
2024-06-14,20:00,0,0,,5.0,1000,24.6,67,6,0
2024-06-14,21:00,0,0,,7.22,1000,24.2,70,4,0
2024-06-14,22:00,0,0,,7.22,1000,23.7,74,5,0
2024-06-15,10:00,1,0,,7.22,1000,26.5,49,0,0
2024-06-15,11:00,1,0,,7.22,1000,27.6,44,2,0
2024-06-15,12:00,1,0,,7.22,1000,28.3,40,4,0
2024-06-15,13:00,1,0,,7.22,1000,28.7,38,9,0
2024-06-15,14:00,1,0,,7.22,1000,28.6,38,11,0
2024-06-15,15:00,1,0,,10.18,1000,28.5,39,15,0
2024-06-15,16:00,1,0,,20.54,1000,27.8,42,16,0
2024-06-15,17:00,1,1,HIROMITSU KITAYAMA,76.78,1063,27.1,47,75,45
2024-06-15,18:00,1,0,,79.0,1003,26.1,54,49,45
2024-06-15,19:00,1,0,,79.0,1063,24.9,63,50,100
2024-06-15,20:00,1,0,,37.56,1063,24.0,70,67,45
2024-06-15,21:00,1,0,,16.1,1063,23.8,72,90,45
2024-06-15,22:00,1,0,,8.7,1153,23.5,75,100,100
2024-06-16,10:00,1,0,,7.96,1000,26.9,53,4,0
2024-06-16,11:00,1,0,,7.96,1000,27.3,53,4,0
2024-06-16,12:00,1,0,,23.5,1000,27.4,53,4,0
2024-06-16,13:00,1,1,HIROMITSU KITAYAMA,79.0,1000,27.7,53,3,0
2024-06-16,14:00,1,0,,79.0,1000,27.7,54,2,0
2024-06-16,15:00,1,0,,59.02,1000,27.4,58,2,0
